Date,Price,Open,High,Low,Vol.,Change %,GoogleValues
2019-02-10,3679.0,3661.0,3680.6,3617.1,501.9,0.48,28
2019-02-03,3459.1,3502.3,3507.8,3431.3,451.66,-1.24,31
2019-01-27,3555.6,3570.9,3583.2,3509.2,464.02,-0.43,29
2019-01-20,3542.3,3676.2,3699.1,3503.9,563.31,-3.68,28
2019-01-13,3490.2,3597.3,3617.6,3473.2,452.79,-2.98,32
2019-01-06,4004.1,3785.7,4034.1,3758.5,529.89,5.78,34
2018-12-30,3815.0,3708.2,3837.7,3682.5,519.17,2.92,16
2018-12-23,3944.4,3964.3,4037.1,3904.6,572.21,-0.5,18
2018-12-16,3247.9,3228.6,3305.0,3225.9,335.69,0.6,21
2018-12-09,3567.5,3430.3,3677.6,3424.2,327.93,4.0,19
2018-12-02,4160.4,4196.2,4316.1,4105.3,298.63,-0.85,20
2018-11-25,4062.2,3920.3,4198.4,3634.2,619.95,3.62,26
2018-11-18,5658.3,5621.0,5727.9,5615.5,158.68,0.65,24
2018-11-11,6446.1,6427.1,6451.7,6359.0,127.4,0.3,18
2018-11-04,6478.2,6386.2,6508.9,6359.7,128.76,1.44,14
2018-10-28,6486.1,6494.6,6502.2,6461.2,93.97,-0.12,13
2018-10-21,6583.0,6575.9,6643.1,6568.0,92.94,0.16,13
2018-10-14,6326.8,6321.6,6390.9,6300.0,99.38,0.08,14
2018-10-07,6611.0,6596.3,6633.9,6523.8,77.06,0.22,15
2018-09-30,6635.2,6603.9,6673.9,6533.5,9.34,0.47,13
2018-09-23,6704.1,6729.6,6789.4,6666.4,7.34,-0.38,15
2018-09-16,6500.2,6519.0,6520.8,6406.2,3.34,-0.29,16
2018-09-09,6238.5,6184.3,6432.6,6148.8,2.84,0.88,17
2018-09-02,7293.9,7189.6,7334.8,7117.3,3.9,1.45,19
2018-08-26,6712.7,6734.9,6892.7,6573.1,3.37,-0.33,18
2018-08-19,6481.5,6379.1,6534.8,6316.0,2.71,1.61,17
2018-08-12,6313.0,6232.1,6453.0,6169.8,216.33,1.31,19
2018-08-05,7027.1,7014.0,7087.6,6887.9,177.64,0.18,20
2018-07-29,8215.6,8231.5,8275.4,8113.3,155.24,-0.22,19
2018-07-22,7412.3,7409.0,7575.3,7343.7,204.16,0.05,21
2018-07-15,6362.9,6254.8,6399.6,6238.5,180.67,1.73,20
2018-07-08,6714.8,6765.4,6784.0,6694.3,267.6,-0.75,16
2018-07-01,6366.8,6398.5,6445.1,6284.7,128.51,-0.5,16
2018-06-24,6154.6,6167.9,6248.3,5785.3,240.6,-0.21,19
2018-06-17,6460.3,6505.8,6593.0,6452.1,90.67,-0.7,17
2018-06-10,6775.1,7515.8,7516.3,6668.1,275.69,-9.85,22
2018-06-03,7729.3,7646.6,7775.0,7611.3,116.68,1.08,17
2018-05-27,7366.7,7361.9,7411.8,7267.5,103.29,0.07,19
2018-05-20,8529.0,8243.9,8580.4,8184.7,113.76,3.44,20
2018-05-13,8693.5,8489.1,8758.4,8330.0,149.8,2.77,20
2018-05-06,9656.4,9859.6,9957.7,9446.7,150.95,-2.0,23
2018-04-29,9415.1,9352.2,9565.1,9182.8,184.72,0.67,22
2018-04-22,8806.7,8923.6,9022.3,8766.5,161.89,-1.3,24
2018-04-15,8363.6,8004.6,8411.5,8004.6,160.26,4.49,25
2018-04-08,7030.5,6905.9,7113.4,6903.9,132.51,1.81,28
2018-04-01,6825.2,6939.1,7047.7,6460.1,257.53,-1.63,31
2018-03-25,8473.2,8549.1,8679.0,8392.2,149.52,-0.87,32
2018-03-18,8201.2,7873.2,8283.6,7323.3,348.02,4.14,31
2018-03-11,9529.6,8732.2,9719.6,8516.4,266.59,8.76,34
2018-03-04,11416.5,11402.8,11490.3,10878.4,156.4,0.12,32
2018-02-25,9585.2,9703.1,9860.3,9330.1,196.49,-1.23,34
2018-02-18,10398.8,11073.7,11271.6,10137.2,288.91,-6.09,42
2018-02-11,8081.9,8559.7,8564.2,7843.7,236.2,-5.58,47
2018-02-04,8222.2,9241.5,9382.1,7932.1,280.94,-11.03,86
